Entry	Entry Name	Protein names	Organism	Length	Gene Ontology (molecular function)	Function [CC]	Gene Names
Q16595	FRDA_HUMAN	Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN); Extramitochondrial frataxin]	Homo sapiens (Human)	210	2 iron, 2 sulfur cluster binding [GO:0051537]; ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]; ferroxidase activity [GO:0004322]; iron chaperone activity [GO:0034986]	FUNCTION: [Frataxin mature form]: Functions as an activator of persulfide transfer to the scaffoding protein ISCU as component of the core iron-sulfur cluster (ISC) assembly complex and participates to the [2Fe-2S] cluster assembly (PubMed:12785837, PubMed:24971490). Accelerates sulfur transfer from NFS1 persulfide intermediate to ISCU and to small thiols such as L-cysteine and glutathione leading to persulfuration of these thiols and ultimately sulfide release (PubMed:24971490). Binds ferrous ion and is released from FXN upon the addition of both L-cysteine and reduced FDX2 during [2Fe-2S] cluster assembly (PubMed:29576242). The core iron-sulfur cluster (ISC) assembly complex is involved in the de novo synthesis of a [2Fe-2S] cluster, the first step of the mitochondrial iron-sulfur protein biogenesis. This process is initiated by the cysteine desulfurase complex (NFS1:LYRM4:NDUFAB1) that produces persulfide which is delivered on the scaffold protein ISCU in a FXN-dependent manner. Then this complex is stabilized by FDX2 which provides reducing equivalents to accomplish the [2Fe-2S] cluster assembly. Finally, the [2Fe-2S] cluster is transferred from ISCU to chaperone proteins, including HSCB, HSPA9 and GLRX5 (By similarity). May play a role in the protection against iron-catalyzed oxidative stress through its ability to catalyze the oxidation of Fe(2+) to Fe(3+); the oligomeric form but not the monomeric form has in vitro ferroxidase activity (PubMed:15641778). May be able to store large amounts of iron in the form of a ferrihydrite mineral by oligomerization; however, the physiological relevance is unsure as reports are conflicting and the function has only been shown using heterologous overexpression systems (PubMed:11823441, PubMed:12755598). May function as an iron chaperone protein that protects the aconitase [4Fe-4S]2+ cluster from disassembly and promotes enzyme reactivation (PubMed:15247478). May play a role as a high affinity iron binding partner for FECH that is capable of both delivering iron to ferrochelatase and mediating the terminal step in mitochondrial heme biosynthesis (PubMed:15123683, PubMed:16239244). {ECO:0000250|UniProtKB:Q9H1K1, ECO:0000269|PubMed:11823441, ECO:0000269|PubMed:12755598, ECO:0000269|PubMed:12785837, ECO:0000269|PubMed:15123683, ECO:0000269|PubMed:15247478, ECO:0000269|PubMed:15641778, ECO:0000269|PubMed:16239244, ECO:0000269|PubMed:24971490, ECO:0000269|PubMed:29576242}.; FUNCTION: [Extramitochondrial frataxin]: Modulates the RNA-binding activity of ACO1 (PubMed:20053667). May be involved in the cytoplasmic iron-sulfur protein biogenesis (PubMed:16091420). May contribute to oxidative stress resistance and overall cell survival (PubMed:16608849). {ECO:0000269|PubMed:16091420, ECO:0000269|PubMed:16608849, ECO:0000269|PubMed:20053667}.	FXN FRDA X25
Q16611	BAK_HUMAN	Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7)	Homo sapiens (Human)	211	BH domain binding [GO:0051400]; heat shock protein binding [GO:0031072]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; porin activity [GO:0015288]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; protein-folding chaperone binding [GO:0051087]; transmembrane transporter binding [GO:0044325]	FUNCTION: Plays a role in the mitochondrial apoptotic process. Upon arrival of cell death signals, promotes mitochondrial outer membrane (MOM) permeabilization by oligomerizing to form pores within the MOM. This releases apoptogenic factors into the cytosol, including cytochrome c, promoting the activation of caspase 9 which in turn processes and activates the effector caspases. {ECO:0000269|PubMed:17157251, ECO:0000269|PubMed:8521816}.	BAK1 BAK BCL2L7 CDN1
Q16613	SNAT_HUMAN	Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT)	Homo sapiens (Human)	207	14-3-3 protein binding [GO:0071889]; aralkylamine N-acetyltransferase activity [GO:0004059]; arylamine N-acetyltransferase activity [GO:0004060]	FUNCTION: Controls the night/day rhythm of melatonin production in the pineal gland. Catalyzes the N-acetylation of serotonin into N-acetylserotonin, the penultimate step in the synthesis of melatonin. {ECO:0000269|PubMed:11313340, ECO:0000305}.	AANAT SNAT
Q16619	CTF1_HUMAN	Cardiotrophin-1 (CT-1)	Homo sapiens (Human)	201	cytokine activity [GO:0005125]; leukemia inhibitory factor receptor binding [GO:0005146]	FUNCTION: Induces cardiac myocyte hypertrophy in vitro. Binds to and activates the ILST/gp130 receptor.	CTF1
Q16621	NFE2_HUMAN	Transcription factor NF-E2 45 kDa subunit (Leucine zipper protein NF-E2) (Nuclear factor, erythroid-derived 2 45 kDa subunit) (p45 NF-E2)	Homo sapiens (Human)	373	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; WW domain binding [GO:0050699]	FUNCTION: Component of the NF-E2 complex essential for regulating erythroid and megakaryocytic maturation and differentiation. Binds to the hypersensitive site 2 (HS2) of the beta-globin control region (LCR). This subunit (NFE2) recognizes the TCAT/C sequence of the AP-1-like core palindrome present in a number of erythroid and megakaryocytic gene promoters. Requires MAFK or other small MAF proteins for binding to the NF-E2 motif. May play a role in all aspects of hemoglobin production from globin and heme synthesis to procurement of iron. {ECO:0000269|PubMed:11154691, ECO:0000269|PubMed:16287851}.	NFE2
Q16623	STX1A_HUMAN	Syntaxin-1A (Neuron-specific antigen HPC-1)	Homo sapiens (Human)	288	calcium channel inhibitor activity [GO:0019855]; chloride channel inhibitor activity [GO:0019869]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	FUNCTION: Plays an essential role in hormone and neurotransmitter calcium-dependent exocytosis and endocytosis (PubMed:26635000). Part of the SNARE (Soluble NSF Attachment Receptor) complex composed of SNAP25, STX1A and VAMP2 which mediates the fusion of synaptic vesicles with the presynaptic plasma membrane. STX1A and SNAP25 are localized on the plasma membrane while VAMP2 resides in synaptic vesicles. The pairing of the three SNAREs from the N-terminal SNARE motifs to the C-terminal anchors leads to the formation of the SNARE complex, which brings membranes into close proximity and results in final fusion. Participates in the calcium-dependent regulation of acrosomal exocytosis in sperm (PubMed:23091057). Also plays an important role in the exocytosis of hormones such as insulin or glucagon-like peptide 1 (GLP-1) (By similarity). {ECO:0000250|UniProtKB:O35526, ECO:0000269|PubMed:23091057, ECO:0000269|PubMed:26635000}.	STX1A STX1
Q16629	SRSF7_HUMAN	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	Homo sapiens (Human)	238	mRNA binding [GO:0003729]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	FUNCTION: Required for pre-mRNA splicing. Can also modulate alternative splicing in vitro. Represses the splicing of MAPT/Tau exon 10. May function as export adapter involved in mRNA nuclear export such as of histone H2A. Binds mRNA which is thought to be transferred to the NXF1-NXT1 heterodimer for export (TAP/NXF1 pathway); enhances NXF1-NXT1 RNA-binding activity. RNA-binding is semi-sequence specific. {ECO:0000269|PubMed:11336712, ECO:0000269|PubMed:12667464, ECO:0000269|PubMed:15009664, ECO:0000269|PubMed:18364396}.	SRSF7 SFRS7
Q16633	OBF1_HUMAN	POU domain class 2-associating factor 1 (B-cell-specific coactivator OBF-1) (BOB-1) (OCA-B) (OCT-binding factor 1)	Homo sapiens (Human)	256	DNA binding [GO:0003677]; POU domain binding [GO:0070974]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]	FUNCTION: Transcriptional coactivator that specifically associates with either POU2F1/OCT1 or POU2F2/OCT2 (PubMed:7859290). It boosts the POU2F1/OCT1 mediated promoter activity and to a lesser extent, that of POU2F2/OCT2 (PubMed:7779176). It recognizes the POU domains of POU2F1/OCT1 and POU2F2/OCT2 (PubMed:7779176). It is essential for the response of B-cells to antigens and required for the formation of germinal centers (PubMed:7623806, PubMed:7859290). Regulates IL6 expression in B cells as POU2F2/OCT2 coactivator (By similarity). {ECO:0000250|UniProtKB:Q64693, ECO:0000269|PubMed:7623806, ECO:0000269|PubMed:7779176, ECO:0000269|PubMed:7859290}.	POU2AF1 BOB1 OBF1
Q16635	TAZ_HUMAN	Tafazzin (Taz) (EC 2.3.1.-) (Protein G4.5)	Homo sapiens (Human)	262	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; 1-acylglycerophosphocholine O-acyltransferase activity [GO:0047184]; O-acyltransferase activity [GO:0008374]	FUNCTION: Acyltransferase required to remodel newly synthesized phospholipid cardiolipin (1',3'-bis-[1,2-diacyl-sn-glycero-3-phospho]-glycerol or CL), a key component of the mitochondrial inner membrane, with tissue specific acyl chains necessary for adequate mitochondrial function (PubMed:12930833, PubMed:19164547, PubMed:19700766, PubMed:26908608, PubMed:33096711). Its role in cellular physiology is to improve mitochondrial performance (PubMed:32234310). CL is critical for the coassembly of lipids and proteins in mitochondrial membranes, for instance, remodeling of the acyl groups of CL in the mitochondrial inner membrane affects the assembly and stability of respiratory chain complex IV and its supercomplex forms (By similarity). Catalyzes the transacylation between phospholipids and lysophospholipids, with the highest rate being between phosphatidylcholine (1,2-diacyl-sn-glycero-3-phosphocholine or PC) and CL. Catalyzes both 1-acyl-sn-glycero-3-phosphocholine (lysophosphatidylcholine or LPC) reacylation and PC-CL transacylation, that means, it exchanges acyl groups between CL and PC by a combination of forward and reverse transacylations. Also catalyzes transacylations between other phospholipids such as phosphatidylethanolamine (1,2-diacyl-sn-glycero-3-phosphoethanolamine or PE) and CL, between PC and PE, and between PC and phosphatidate (1,2-diacyl-sn-glycero-3-phosphate or PA), although at lower rate. Not regiospecific, it transfers acyl groups into any of the sn-1 and sn-2 positions of the monolysocardiolipin (MLCL), which is an important prerequisite for uniformity and symmetry in CL acyl distribution. Cannot transacylate dilysocardiolipin (DLCL), thus, the role of MLCL is limited to that of an acyl acceptor. CoA-independent, it can reshuffle molecular species within a single phospholipid class. Redistributes fatty acids between MLCL, CL, and other lipids, which prolongs the half-life of CL. Its action is completely reversible, which allows for cyclic changes, such as fission and fusion or bending and flattening of the membrane. Hence, by contributing to the flexibility of the lipid composition, it plays an important role in the dynamics of mitochondria membranes. Essential for the final stage of spermatogenesis, spermatid individualization (By similarity). Required for the initiation of mitophagy (PubMed:33096711). Required to ensure progression of spermatocytes through meiosis (By similarity). Exon 7 of human tafazzin is essential for catalysis (PubMed:19700766). {ECO:0000250|UniProtKB:Q06510, ECO:0000250|UniProtKB:Q91WF0, ECO:0000250|UniProtKB:Q9V6G5, ECO:0000269|PubMed:12930833, ECO:0000269|PubMed:19164547, ECO:0000269|PubMed:19700766, ECO:0000269|PubMed:26908608, ECO:0000269|PubMed:33096711, ECO:0000303|PubMed:19700766, ECO:0000303|PubMed:32234310}.; FUNCTION: [Isoform 1]: Catalyzes the transacylation between lysophosphatidate (such as 1-acyl-sn-glycero-3-phosphate) and phosphatidylglycerol (1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol)) (PubMed:19700766). Contributes to cardiolipin (1',3'-bis-[1,2-diacyl-sn-glycero-3-phospho]-glycerol or CL) remodeling (PubMed:12930833, PubMed:19700766). {ECO:0000269|PubMed:12930833, ECO:0000269|PubMed:19700766}.; FUNCTION: [Isoform 3]: Catalyzes the transacylation between lysophospholipids and phospholipids, and plays a fundamental role in cardiolipin (1',3'-bis-[1,2-diacyl-sn-glycero-3-phospho]-glycerol or CL) metabolism and remodeling. {ECO:0000269|PubMed:12930833, ECO:0000269|PubMed:19416660, ECO:0000269|PubMed:19700766}.; FUNCTION: [Isoform 5]: Catalytically inactive. {ECO:0000269|PubMed:12930833, ECO:0000269|PubMed:19700766}.; FUNCTION: [Isoform 7]: Catalytically inactive. {ECO:0000269|PubMed:19700766}.	TAFAZZIN EFE2 G4.5 TAZ
Q16637	SMN_HUMAN	Survival motor neuron protein (Component of gems 1) (Gemin-1)	Homo sapiens (Human)	294	identical protein binding [GO:0042802]; RNA binding [GO:0003723]	FUNCTION: The SMN complex catalyzes the assembly of small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome, and thereby plays an important role in the splicing of cellular pre-mRNAs (PubMed:18984161, PubMed:9845364). Most spliceosomal snRNPs contain a common set of Sm proteins SNRPB, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF and SNRPG that assemble in a heptameric protein ring on the Sm site of the small nuclear RNA to form the core snRNP (Sm core) (PubMed:18984161). In the cytosol, the Sm proteins SNRPD1, SNRPD2, SNRPE, SNRPF and SNRPG are trapped in an inactive 6S pICln-Sm complex by the chaperone CLNS1A that controls the assembly of the core snRNP (PubMed:18984161). To assemble core snRNPs, the SMN complex accepts the trapped 5Sm proteins from CLNS1A forming an intermediate (PubMed:18984161). Within the SMN complex, SMN1 acts as a structural backbone and together with GEMIN2 it gathers the Sm complex subunits (PubMed:17178713, PubMed:21816274, PubMed:22101937). Binding of snRNA inside 5Sm ultimately triggers eviction of the SMN complex, thereby allowing binding of SNRPD3 and SNRPB to complete assembly of the core snRNP (PubMed:31799625). Ensures the correct splicing of U12 intron-containing genes that may be important for normal motor and proprioceptive neurons development (PubMed:23063131). Also required for resolving RNA-DNA hybrids created by RNA polymerase II, that form R-loop in transcription terminal regions, an important step in proper transcription termination (PubMed:26700805). May also play a role in the metabolism of small nucleolar ribonucleoprotein (snoRNPs). {ECO:0000269|PubMed:17178713, ECO:0000269|PubMed:18984161, ECO:0000269|PubMed:21816274, ECO:0000269|PubMed:22101937, ECO:0000269|PubMed:23063131, ECO:0000269|PubMed:26700805, ECO:0000269|PubMed:31799625, ECO:0000269|PubMed:9845364}.	SMN1 SMN SMNT; SMN2 SMNC
Q16644	MAPK3_HUMAN	MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3) (EC 2.7.11.1) (Chromosome 3p kinase) (3pK)	Homo sapiens (Human)	382	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; histone H2AS1 kinase activity [GO:0044024]; MAP kinase kinase activity [GO:0004708]; mitogen-activated protein kinase binding [GO:0051019]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	FUNCTION: Stress-activated serine/threonine-protein kinase involved in cytokines production, endocytosis, cell migration, chromatin remodeling and transcriptional regulation. Following stress, it is phosphorylated and activated by MAP kinase p38-alpha/MAPK14, leading to phosphorylation of substrates. Phosphorylates serine in the peptide sequence, Hyd-X-R-X(2)-S, where Hyd is a large hydrophobic residue. MAPKAPK2 and MAPKAPK3, share the same function and substrate specificity, but MAPKAPK3 kinase activity and level in protein expression are lower compared to MAPKAPK2. Phosphorylates HSP27/HSPB1, KRT18, KRT20, RCSD1, RPS6KA3, TAB3 and TTP/ZFP36. Mediates phosphorylation of HSP27/HSPB1 in response to stress, leading to dissociate HSP27/HSPB1 from large small heat-shock protein (sHsps) oligomers and impair their chaperone activities and ability to protect against oxidative stress effectively. Involved in inflammatory response by regulating tumor necrosis factor (TNF) and IL6 production post-transcriptionally: acts by phosphorylating AU-rich elements (AREs)-binding proteins, such as TTP/ZFP36, leading to regulate the stability and translation of TNF and IL6 mRNAs. Phosphorylation of TTP/ZFP36, a major post-transcriptional regulator of TNF, promotes its binding to 14-3-3 proteins and reduces its ARE mRNA affinity leading to inhibition of dependent degradation of ARE-containing transcript. Involved in toll-like receptor signaling pathway (TLR) in dendritic cells: required for acute TLR-induced macropinocytosis by phosphorylating and activating RPS6KA3. Also acts as a modulator of Polycomb-mediated repression. {ECO:0000269|PubMed:10383393, ECO:0000269|PubMed:15563468, ECO:0000269|PubMed:18021073, ECO:0000269|PubMed:20599781, ECO:0000269|PubMed:8626550, ECO:0000269|PubMed:8774846}.	MAPKAPK3
Q16651	PRSS8_HUMAN	Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]	Homo sapiens (Human)	343	serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]	FUNCTION: Possesses a trypsin-like cleavage specificity with a preference for poly-basic substrates. Stimulates epithelial sodium channel (ENaC) activity through activating cleavage of the gamma subunits (SCNN1G). {ECO:0000269|PubMed:15246975, ECO:0000269|PubMed:15474520}.	PRSS8
Q16653	MOG_HUMAN	Myelin-oligodendrocyte glycoprotein	Homo sapiens (Human)	247	signaling receptor binding [GO:0005102]; virus receptor activity [GO:0001618]	FUNCTION: Mediates homophilic cell-cell adhesion (By similarity). Minor component of the myelin sheath. May be involved in completion and/or maintenance of the myelin sheath and in cell-cell communication. {ECO:0000250}.; FUNCTION: (Microbial infection) Acts as a receptor for rubella virus. {ECO:0000269|PubMed:21880773}.	MOG
Q16667	CDKN3_HUMAN	Cyclin-dependent kinase inhibitor 3 (EC 3.1.3.16) (EC 3.1.3.48) (CDK2-associated dual-specificity phosphatase) (Cyclin-dependent kinase interactor 1) (Cyclin-dependent kinase-interacting protein 2) (Kinase-associated phosphatase)	Homo sapiens (Human)	212	myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	FUNCTION: May play a role in cell cycle regulation. Dual specificity CC phosphatase active toward substrates containing either phosphotyrosine or phosphoserine residues (PubMed:8127873, PubMed:8242750). Dephosphorylates CDK2 at 'Thr-160' in a cyclin-dependent manner (PubMed:7569954). {ECO:0000269|PubMed:7569954, ECO:0000269|PubMed:8127873, ECO:0000269|PubMed:8242750}.	CDKN3 CDI1 CIP2 KAP
Q16690	DUS5_HUMAN	Dual specificity protein phosphatase 5 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH3)	Homo sapiens (Human)	384	MAP kinase tyrosine phosphatase activity [GO:0033550]; MAP kinase tyrosine/serine/threonine phosphatase activity [GO:0017017]; myosin phosphatase activity [GO:0017018]; phosphatase activity [GO:0016791]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine/threonine phosphatase activity [GO:0008330]	FUNCTION: Dual specificity protein phosphatase; active with phosphotyrosine, phosphoserine and phosphothreonine residues. The highest relative activity is toward ERK1. {ECO:0000269|PubMed:7961985}.	DUSP5 VH3
Q16698	DECR_HUMAN	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial (EC 1.3.1.124) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH]) (Short chain dehydrogenase/reductase family 18C member 1)	Homo sapiens (Human)	335	2,4-dienoyl-CoA reductase (NADPH) activity [GO:0008670]; identical protein binding [GO:0042802]; NADPH binding [GO:0070402]	FUNCTION: Auxiliary enzyme of beta-oxidation. It participates in the metabolism of unsaturated fatty enoyl-CoA esters having double bonds in both even- and odd-numbered positions in mitochondria. Catalyzes the NADP-dependent reduction of 2,4-dienoyl-CoA to yield trans-3-enoyl-CoA. {ECO:0000269|PubMed:15531764}.	DECR1 DECR SDR18C1
Q16739	CEGT_HUMAN	Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (Glycosylceramide synthase) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)	Homo sapiens (Human)	394	ceramide glucosyltransferase activity [GO:0008120]; dihydroceramide glucosyltransferase activity [GO:0102769]	FUNCTION: Participates in the initial step of the glucosylceramide-based glycosphingolipid/GSL synthetic pathway at the cytosolic surface of the Golgi (PubMed:1532799, PubMed:8643456). Catalyzes the transfer of glucose from UDP-glucose to ceramide to produce glucosylceramide/GlcCer (such as beta-D-glucosyl-(1<->1')-N-acylsphing-4-enine) (PubMed:1532799, PubMed:8643456). GlcCer is the core component of glycosphingolipids/GSLs, amphipathic molecules consisting of a ceramide lipid moiety embedded in the outer leaflet of the membrane, linked to one of hundreds of different externally oriented oligosaccharide structures (PubMed:8643456). Glycosphingolipids are essential components of membrane microdomains that mediate membrane trafficking and signal transduction, implicated in many fundamental cellular processes, including growth, differentiation, migration, morphogenesis, cell-to-cell and cell-to-matrix interactions (By similarity). They are required for instance in the proper development and functioning of the nervous system (By similarity). As an example of their role in signal transduction, they regulate the leptin receptor/LEPR in the leptin-mediated signaling pathway (By similarity). They also play an important role in the establishment of the skin barrier regulating keratinocyte differentiation and the proper assembly of the cornified envelope (By similarity). The biosynthesis of GSLs is also required for the proper intestinal endocytic uptake of nutritional lipids (By similarity). Catalyzes the synthesis of xylosylceramide/XylCer (such as beta-D-xylosyl-(1<->1')-N-acylsphing-4-enine) using UDP-Xyl as xylose donor (PubMed:33361282). {ECO:0000250|UniProtKB:O88693, ECO:0000269|PubMed:1532799, ECO:0000269|PubMed:33361282, ECO:0000269|PubMed:8643456, ECO:0000303|PubMed:8643456}.	UGCG
Q16740	CLPP_HUMAN	ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)	Homo sapiens (Human)	277	ATP-dependent peptidase activity [GO:0004176]; ATPase binding [GO:0051117]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]	FUNCTION: Protease component of the Clp complex that cleaves peptides and various proteins in an ATP-dependent process. Has low peptidase activity in the absence of CLPX. The Clp complex can degrade CSN1S1, CSN2 and CSN3, as well as synthetic peptides (in vitro) and may be responsible for a fairly general and central housekeeping function rather than for the degradation of specific substrates (PubMed:11923310, PubMed:15522782). Cleaves PINK1 in the mitochondrion (PubMed:22354088). {ECO:0000269|PubMed:11923310, ECO:0000269|PubMed:15522782, ECO:0000269|PubMed:22354088}.	CLPP
Q16762	THTR_HUMAN	Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese)	Homo sapiens (Human)	297	3-mercaptopyruvate sulfurtransferase activity [GO:0016784]; 5S rRNA binding [GO:0008097]; thiosulfate sulfurtransferase activity [GO:0004792]	FUNCTION: Formation of iron-sulfur complexes, cyanide detoxification or modification of sulfur-containing enzymes. Other thiol compounds, besides cyanide, can act as sulfur ion acceptors. Also has weak mercaptopyruvate sulfurtransferase (MST) activity (By similarity). Together with MRPL18, acts as a mitochondrial import factor for the cytosolic 5S rRNA. Only the nascent unfolded cytoplasmic form is able to bind to the 5S rRNA. {ECO:0000250, ECO:0000269|PubMed:20663881, ECO:0000269|PubMed:21685364}.	TST
Q16763	UBE2S_HUMAN	Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S)	Homo sapiens (Human)	222	anaphase-promoting complex binding [GO:0010997]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]	FUNCTION: Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins (PubMed:19820702, PubMed:19822757, PubMed:22496338, PubMed:27259151). Catalyzes 'Lys-11'-linked polyubiquitination. Acts as an essential factor of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated ubiquitin ligase that controls progression through mitosis (PubMed:19820702, PubMed:19822757, PubMed:27259151, PubMed:27910872). Acts by specifically elongating 'Lys-11'-linked polyubiquitin chains initiated by the E2 enzyme UBE2C/UBCH10 on APC/C substrates, enhancing the degradation of APC/C substrates by the proteasome and promoting mitotic exit (PubMed:19820702, PubMed:19822757, PubMed:27259151). Also acts by elongating ubiquitin chains initiated by the E2 enzyme UBE2D1/UBCH5 in vitro; it is however unclear whether UBE2D1/UBCH5 acts as an E2 enzyme for the APC/C in vivo. Also involved in ubiquitination and subsequent degradation of VHL, resulting in an accumulation of HIF1A (PubMed:16819549). In vitro able to promote polyubiquitination using all 7 ubiquitin Lys residues, except 'Lys-48'-linked polyubiquitination (PubMed:20061386, PubMed:20622874). {ECO:0000269|PubMed:16819549, ECO:0000269|PubMed:19820702, ECO:0000269|PubMed:19822757, ECO:0000269|PubMed:20061386, ECO:0000269|PubMed:20622874, ECO:0000269|PubMed:22496338, ECO:0000269|PubMed:27259151, ECO:0000269|PubMed:27910872}.	UBE2S E2EPF OK/SW-cl.73
Q16769	QPCT_HUMAN	Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (sQC) (Glutaminyl-tRNA cyclotransferase) (Glutamyl cyclase) (EC)	Homo sapiens (Human)	361	glutaminyl-peptide cyclotransferase activity [GO:0016603]; zinc ion binding [GO:0008270]	FUNCTION: Responsible for the biosynthesis of pyroglutamyl peptides. Has a bias against acidic and tryptophan residues adjacent to the N-terminal glutaminyl residue and a lack of importance of chain length after the second residue. Also catalyzes N-terminal pyroglutamate formation. In vitro, catalyzes pyroglutamate formation of N-terminally truncated form of APP amyloid-beta peptides [Glu-3]-amyloid-beta. May be involved in the N-terminal pyroglutamate formation of several amyloid-related plaque-forming peptides. {ECO:0000269|PubMed:15063747, ECO:0000269|PubMed:18486145, ECO:0000269|PubMed:21288892}.	QPCT
Q16772	GSTA3_HUMAN	Glutathione S-transferase A3 (EC 2.5.1.18) (GST class-alpha member 3) (Glutathione S-transferase A3-3)	Homo sapiens (Human)	222	glutathione transferase activity [GO:0004364]	FUNCTION: Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles. Catalyzes isomerization reactions that contribute to the biosynthesis of steroid hormones. Efficiently catalyze obligatory double-bond isomerizations of delta(5)-androstene-3,17-dione and delta(5)-pregnene-3,20-dione, precursors to testosterone and progesterone, respectively. Has substantial activity toward aflatoxin B1-8,9-epoxide (By similarity). {ECO:0000250|UniProtKB:P30115, ECO:0000269|PubMed:11418619, ECO:0000269|PubMed:15595823, ECO:0000269|PubMed:20083122}.	GSTA3
Q16775	GLO2_HUMAN	Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)	Homo sapiens (Human)	308	hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]	FUNCTION: Thiolesterase that catalyzes the hydrolysis of S-D-lactoyl-glutathione to form glutathione and D-lactic acid. {ECO:0000269|PubMed:8550579}.	HAGH GLO2 HAGH1
